Decimal Code,"Circle Centers (x, y)"
194,"(151.16941833496094, 416.4256286621094)","(193.3709716796875, 416.7150573730469)","(235.74264526367188, 417.11029052734375)","(277.72222900390625, 417.27777099609375)","(320.34552001953125, 417.57318115234375)","(362.5, 418.0)","(404.7105407714844, 418.2894592285156)","(447.17401123046875, 418.72906494140625)","(489.32525634765625, 418.8689270019531)","(531.5, 419.5)","(573.83056640625, 419.5743713378906)","(616.2569580078125, 420.1175231933594)","(658.3840942382812, 420.2596435546875)","(700.9210815429688, 421.0)","(743.5, 421.31817626953125)","(785.8365478515625, 421.6394348144531)","(827.5, 421.72222900390625)","(869.610107421875, 421.7907409667969)","(911.7290649414062, 422.17401123046875)","(953.5900268554688, 422.30999755859375)","(996.0, 422.5)","(1038.0, 422.7083435058594)","(1080.4100341796875, 422.69000244140625)","(1122.5, 423.0)","(1164.7105712890625, 423.5)","(1206.8214111328125, 423.5446472167969)","(1249.0, 424.0)","(1291.2890625, 424.2974548339844)","(1332.855712890625, 424.45257568359375)","(1375.2889404296875, 424.7010192871094)"
193,"(151.15383911132812, 458.3846130371094)","(193.4268341064453, 458.65447998046875)","(235.5357208251953, 459.0)","(277.8829650878906, 459.3085021972656)","(320.2894592285156, 459.5)","(362.5, 460.0)","(404.7145690917969, 460.4233703613281)","(447.1103820800781, 460.55194091796875)","(489.27777099609375, 460.72222900390625)","(531.3800048828125, 461.2466735839844)","(574.0, 461.5)","(616.5, 462.1666564941406)","(658.6694946289062, 462.322021484375)","(701.1385498046875, 462.6686706542969)","(743.7048950195312, 463.2786865234375)","(785.7660522460938, 463.3348693847656)","(827.827880859375, 463.4344177246094)","(869.5499877929688, 463.54998779296875)","(911.8051147460938, 463.9576416015625)","(953.9236450195312, 464.2671813964844)","(996.2451171875, 464.26470947265625)","(1038.1370849609375, 464.3301086425781)","(1080.31005859375, 464.5899963378906)","(1122.43310546875, 464.57061767578125)","(1164.7564697265625, 465.1319580078125)","(1207.0999755859375, 465.5)","(1248.986328125, 465.3793640136719)","(1291.25, 465.75)","(1333.3406982421875, 466.09735107421875)","(1375.31005859375, 466.4100036621094)"
192,"(151.2894744873047, 500.2894592285156)","(193.24667358398438, 500.3800048828125)","(235.4256134033203, 500.83056640625)","(278.0, 501.2631530761719)","(320.5, 501.5)","(362.5, 502.0)","(404.6666564941406, 502.0)","(446.8999938964844, 502.5)","(489.1319580078125, 502.7565002441406)","(531.3800048828125, 503.2466735839844)","(574.0, 503.5)","(616.4853515625, 503.6098937988281)","(658.870361328125, 503.9444580078125)","(701.0999755859375, 504.5)","(743.3912963867188, 504.8260803222656)","(785.5900268554688, 505.30999755859375)","(827.5, 505.0)","(869.5900268554688, 505.30999755859375)","(911.855712890625, 505.54742431640625)","(954.1842041015625, 505.8157958984375)","(996.3800048828125, 506.2466735839844)","(1038.3251953125, 506.1310729980469)","(1080.27783203125, 506.27777099609375)","(1122.5, 506.5)","(1164.72216796875, 506.72222900390625)","(1207.0, 507.0)","(1249.1575927734375, 507.4383544921875)","(1291.1666259765625, 507.5)","(1333.0, 507.4444580078125)","(1375.0, 507.6944580078125)"
191,"(151.1666717529297, 541.8333129882812)","(193.2854461669922, 542.4234008789062)","(235.5, 542.7222290039062)","(278.2450866699219, 542.7352905273438)","(320.27093505859375, 543.1740112304688)","(362.5899963378906, 543.6900024414062)","(404.7368469238281, 544.0)","(447.125, 544.375)","(489.2821044921875, 544.5778198242188)","(531.7430419921875, 544.8824462890625)","(574.1740112304688, 545.2709350585938)","(616.5, 545.5)","(659.0, 546.0)","(701.3936157226562, 546.2021484375)","(743.5, 546.5)","(785.6907958984375, 547.0653686523438)","(827.7169799804688, 546.8773803710938)","(870.0, 547.0)","(911.938232421875, 547.3089599609375)","(954.125, 547.5)","(996.1875, 547.5)","(1038.30078125, 547.9140625)","(1080.5, 548.0)","(1122.5555419921875, 547.9111328125)","(1164.5428466796875, 548.4095458984375)","(1207.0, 548.5)","(1249.4100341796875, 548.6900024414062)","(1291.3836669921875, 548.9418334960938)","(1333.2806396484375, 549.2918090820312)","(1375.54345703125, 549.478271484375)"
190,"(150.88970947265625, 583.74267578125)","(193.156494140625, 584.2252197265625)","(235.08824157714844, 584.0882568359375)","(277.8157958984375, 584.8157958984375)","(320.3091735839844, 585.0653686523438)","(362.5, 585.5)","(404.7489929199219, 585.7694091796875)","(447.0, 586.0)","(489.4446716308594, 586.480224609375)","(531.5900268554688, 586.6900024414062)","(574.26318359375, 587.0)","(616.7403564453125, 587.3840942382812)","(658.8386840820312, 587.600830078125)","(701.4183959960938, 587.80615234375)","(743.6333618164062, 588.3666381835938)","(785.75, 588.5)","(827.61279296875, 588.5150146484375)","(869.9705810546875, 588.9705810546875)","(912.0, 589.0)","(954.0, 589.26318359375)","(996.16943359375, 589.4255981445312)","(1038.1170654296875, 589.3085327148438)","(1080.3836669921875, 589.5232543945312)","(1122.59228515625, 589.75830078125)","(1164.9791259765625, 589.9479370117188)","(1206.8763427734375, 590.241943359375)","(1249.3182373046875, 590.5)","(1291.5, 590.9736938476562)","(1333.67236328125, 590.6724243164062)","(1375.63330078125, 591.0)"
189,"(151.0, 625.0)","(193.0, 626.0)","(235.41836547851562, 626.0918579101562)","(277.5, 626.2777709960938)","(320.1842041015625, 626.8157958984375)","(362.4166564941406, 627.1666870117188)","(404.9285583496094, 627.5)","(446.7368469238281, 628.0)","(489.23077392578125, 628.0)","(531.7178955078125, 628.5778198242188)","(574.2890014648438, 628.7025146484375)","(616.772705078125, 629.5681762695312)","(659.137939453125, 629.5402221679688)","(701.5, 629.5)","(743.5, 629.5)","(786.0, 630.0)","(827.7430419921875, 630.1175537109375)","(869.8529663085938, 630.5)","(912.0, 630.8571166992188)","(954.25732421875, 630.8897094726562)","(996.2591552734375, 630.924072265625)","(1038.0, 631.0)","(1080.2591552734375, 631.075927734375)","(1122.5, 631.3181762695312)","(1164.7232666015625, 631.6893310546875)","(1207.3043212890625, 631.9130249023438)","(1249.3055419921875, 632.0)","(1291.4700927734375, 632.0721435546875)","(1333.715576171875, 632.3807373046875)","(1375.7105712890625, 632.7105102539062)"
188,"(150.625, 667.125)","(192.88636779785156, 667.5681762695312)","(235.1896514892578, 667.8103637695312)","(277.2591552734375, 668.075927734375)","(319.69000244140625, 668.5900268554688)","(362.6944580078125, 669.0)","(404.7105407714844, 669.2894897460938)","(447.0, 669.625)","(489.09735107421875, 669.6593017578125)","(531.5, 670.1470336914062)","(573.8408813476562, 670.5454711914062)","(616.7169799804688, 670.8773803710938)","(658.7083129882812, 671.0)","(701.23681640625, 671.5)","(743.6666870117188, 671.5)","(785.9483032226562, 672.0516967773438)","(827.6910400390625, 672.061767578125)","(869.7337646484375, 672.0584716796875)","(912.0, 672.26318359375)","(954.1136474609375, 672.4318237304688)","(996.3099975585938, 672.5900268554688)","(1038.1785888671875, 672.5446166992188)","(1080.5, 672.6818237304688)","(1122.7327880859375, 672.9236450195312)","(1164.6956787109375, 672.9130249023438)","(1207.0, 673.5)","(1249.5, 673.5)","(1291.5, 673.9000244140625)","(1333.72216796875, 673.7222290039062)","(1375.72216796875, 674.2777709960938)"
187,"(150.73684692382812, 709.0)","(193.27499389648438, 709.3187255859375)","(235.3252410888672, 709.8689575195312)","(277.7328186035156, 710.0763549804688)","(320.2767028808594, 710.3106689453125)","(362.7105407714844, 710.7105102539062)","(404.7368469238281, 711.0)","(447.2767028808594, 711.3106689453125)","(489.70819091796875, 711.7193603515625)","(531.5, 711.9000244140625)","(574.2569580078125, 712.1175537109375)","(616.7857055664062, 712.6428833007812)","(658.6818237304688, 712.772705078125)","(701.5, 713.0)","(743.6724243164062, 713.3275756835938)","(785.75, 713.5)","(827.5, 713.2777709960938)","(869.6525268554688, 713.7373046875)","(911.99462890625, 713.97314453125)","(954.0, 713.73681640625)","(996.1206665039062, 714.1206665039062)","(1038.4000244140625, 714.4000244140625)","(1080.5150146484375, 714.38720703125)","(1122.61279296875, 714.4849853515625)","(1165.0, 714.4444580078125)","(1207.1103515625, 714.74267578125)","(1249.5816650390625, 715.19384765625)","(1291.5899658203125, 715.3099975585938)","(1333.834716796875, 715.3225708007812)","(1376.0, 715.3666381835938)"
186,"(151.0, 751.0)","(193.5, 751.5)","(235.5, 751.5)","(278.0, 752.0)","(320.2894592285156, 752.2894897460938)","(362.5, 752.5)","(405.0, 753.0)","(447.4100036621094, 753.3099975585938)","(489.1698913574219, 753.3058471679688)","(531.7408447265625, 753.924072265625)","(574.4099731445312, 754.3099975585938)","(616.5, 754.375)","(658.9375, 754.6875)","(701.201416015625, 754.8704833984375)","(743.5, 755.0)","(786.0, 755.0)","(827.5, 755.0999755859375)","(869.6694946289062, 755.322021484375)","(911.9285888671875, 755.5)","(953.8008422851562, 755.943115234375)","(996.0973510742188, 755.6593017578125)","(1038.27783203125, 755.7222290039062)","(1080.4212646484375, 756.0827026367188)","(1122.7083740234375, 756.125)","(1165.0999755859375, 756.5)","(1207.079345703125, 756.6459350585938)","(1249.34619140625, 756.5)","(1291.51611328125, 756.6209716796875)","(1333.73681640625, 757.0)","(1376.2451171875, 757.2647094726562)"
185,"(150.69564819335938, 792.9130249023438)","(193.31068420410156, 793.2766723632812)","(235.51976013183594, 793.4446411132812)","(277.7368469238281, 794.0)","(320.5, 794.0)","(362.81817626953125, 794.4242553710938)","(405.07940673828125, 794.6459350585938)","(447.4459533691406, 794.9865112304688)","(489.2591552734375, 795.075927734375)","(532.0, 795.5)","(574.2086791992188, 795.6956787109375)","(616.828369140625, 796.276123046875)","(659.0, 796.0)","(701.3818359375, 796.4363403320312)","(743.6519165039062, 796.9303588867188)","(785.6914672851562, 796.7340698242188)","(827.5, 796.8076782226562)","(870.0, 797.0)","(912.2452392578125, 797.34033203125)","(954.3790283203125, 797.48388671875)","(996.4957275390625, 797.1909790039062)","(1038.72216796875, 797.5)","(1081.0, 797.7083129882812)","(1123.130126953125, 797.7191772460938)","(1165.0, 797.7083129882812)","(1207.3800048828125, 797.7533569335938)","(1249.5, 798.0999755859375)","(1291.6363525390625, 798.2120971679688)","(1334.130126953125, 798.2808227539062)","(1376.0, 798.5)"
184,"(150.85293579101562, 834.5)","(193.3252410888672, 834.8689575195312)","(235.56817626953125, 834.8863525390625)","(278.1785583496094, 835.5446166992188)","(320.32525634765625, 835.8689575195312)","(362.8214416503906, 836.1785888671875)","(404.8793029785156, 836.1206665039062)","(446.9081726074219, 836.4183959960938)","(489.1170349121094, 836.6914672851562)","(531.5, 837.0)","(574.2806396484375, 837.2918090820312)","(616.6724243164062, 837.6724243164062)","(658.8793334960938, 837.8793334960938)","(701.5, 838.0)","(743.6063842773438, 838.2021484375)","(785.8333129882812, 838.5)","(827.5, 838.5)","(869.5, 838.5)","(911.68603515625, 838.5465087890625)","(954.1463012695312, 838.7532958984375)","(996.5, 839.0999755859375)","(1038.8824462890625, 839.2569580078125)","(1081.1529541015625, 839.223876953125)","(1123.142822265625, 839.4285888671875)","(1165.2750244140625, 839.3187255859375)","(1207.5, 839.5)","(1249.5999755859375, 839.5999755859375)","(1291.7109375, 839.7025146484375)","(1334.146240234375, 839.7532958984375)","(1376.0, 840.0)"
183,"(150.69564819335938, 876.0869750976562)","(193.24774169921875, 876.4459228515625)","(235.60000610351562, 877.0)","(278.0, 877.0)","(320.5, 877.5)","(362.7105407714844, 877.7105102539062)","(404.7368469238281, 878.0)","(447.2631530761719, 878.0)","(489.5, 878.8076782226562)","(532.0, 879.0)","(574.4099731445312, 879.3099975585938)","(616.5, 879.0)","(658.8529663085938, 879.5)","(701.3309936523438, 879.6760864257812)","(743.7838134765625, 880.1756591796875)","(785.7290649414062, 880.1740112304688)","(827.2434692382812, 879.8680419921875)","(869.0, 879.9500122070312)","(911.6666870117188, 880.2222290039062)","(954.0, 880.6333618164062)","(996.6063842773438, 880.7978515625)","(1039.0869140625, 880.6956787109375)","(1081.392822265625, 881.0)","(1123.544677734375, 881.1785888671875)","(1165.65185546875, 881.0696411132812)","(1207.63330078125, 881.0)","(1249.7857666015625, 881.2142944335938)","(1292.0, 881.0)","(1334.108642578125, 881.2391357421875)","(1376.1170654296875, 881.3085327148438)"
182,"(150.78787231445312, 917.6363525390625)","(193.059326171875, 918.2076416015625)","(235.17857360839844, 918.5446166992188)","(277.2974548339844, 918.7109985351562)","(319.85943603515625, 919.222412109375)","(362.1653137207031, 919.3225708007812)","(403.5, 919.5)","(446.7368469238281, 920.0)","(489.5655822753906, 920.172119140625)","(531.7178955078125, 920.4221801757812)","(574.169921875, 920.6941528320312)","(616.5, 921.0)","(658.5900268554688, 921.3099975585938)","(701.1260986328125, 921.1441650390625)","(743.1385498046875, 921.331298828125)","(785.5, 921.8076782226562)","(827.429443359375, 921.56640625)","(869.0, 921.6363525390625)","(911.625, 922.0)","(954.5, 922.0)","(996.940673828125, 922.2076416015625)","(1039.2750244140625, 922.3187255859375)","(1081.1370849609375, 922.6698608398438)","(1123.558837890625, 922.5)","(1165.8629150390625, 922.6698608398438)","(1207.9102783203125, 922.6025390625)","(1249.930419921875, 922.6519165039062)","(1292.014404296875, 922.783935546875)","(1333.938232421875, 922.6910400390625)","(1376.1175537109375, 922.7430419921875)"
181,"(150.58999633789062, 959.6900024414062)","(193.0, 960.0)","(235.45713806152344, 960.4095458984375)","(277.7178955078125, 960.5778198242188)","(320.0, 961.0)","(362.4100036621094, 961.3099975585938)","(404.4181823730469, 961.3272705078125)","(447.0, 961.5)","(489.4626770019531, 961.8507690429688)","(531.8897094726562, 962.25732421875)","(574.3099975585938, 962.4099731445312)","(616.5, 962.5)","(658.5999755859375, 962.5999755859375)","(701.4183959960938, 963.19384765625)","(743.5816040039062, 963.19384765625)","(785.7510986328125, 963.2709350585938)","(827.5, 963.3181762695312)","(869.5428466796875, 963.4095458984375)","(912.3892822265625, 963.5147705078125)","(954.7193603515625, 963.7081909179688)","(997.1206665039062, 963.8793334960938)","(1039.26318359375, 964.0)","(1081.26318359375, 964.0)","(1123.5, 963.9000244140625)","(1165.6219482421875, 964.0609741210938)","(1208.0, 964.0)","(1249.73681640625, 964.0)","(1292.26318359375, 964.0)","(1334.0, 964.26318359375)","(1376.2708740234375, 964.2489013671875)"
180,"(150.64285278320312, 1001.3571166992188)","(192.94366455078125, 1001.7042236328125)","(235.0, 1002.0)","(277.1994934082031, 1002.0699462890625)","(319.7178955078125, 1002.4221801757812)","(362.0, 1003.0)","(404.1896667480469, 1002.8103637695312)","(446.5821838378906, 1003.116455078125)","(489.0, 1003.5)","(531.3571166992188, 1003.6428833007812)","(573.6956787109375, 1003.9130249023438)","(616.2647094726562, 1004.0882568359375)","(658.6900024414062, 1004.4099731445312)","(701.0, 1004.5)","(743.5, 1004.7142944335938)","(786.0, 1005.0)","(828.0, 1005.0)","(869.7408447265625, 1004.924072265625)","(912.3480834960938, 1005.0696411132812)","(954.5900268554688, 1005.3099975585938)","(996.8103637695312, 1005.1896362304688)","(1039.1370849609375, 1005.3301391601562)","(1081.283203125, 1005.3805541992188)","(1123.1639404296875, 1005.3215942382812)","(1165.5, 1005.5)","(1207.9000244140625, 1005.5)","(1250.0, 1005.5)","(1292.144287109375, 1005.5474243164062)","(1334.1380615234375, 1005.5407104492188)","(1376.1785888671875, 1005.5446166992188)"
